Advertised Date,Total
2019-07-01,25924
2019-08-01,25550
2019-09-01,22544
2019-10-01,33220
2019-11-01,27111
2019-12-01,30106
2020-01-01,16490
2020-02-01,20097
2020-03-01,12785
2020-04-01,7163
2020-05-01,6018
2020-06-01,5988
2020-07-01,24334
2020-08-01,22935
2020-09-01,27271
2020-10-01,25595
2020-11-01,23555
2020-12-01,29153
2021-01-01,24900
2021-02-01,27348
2021-03-01,37970
2021-04-01,33877
2021-05-01,28242
2021-06-01,28383
2021-07-01,54313
2021-08-01,64023
2021-09-01,74144
2021-10-01,73230
2021-11-01,41013
2021-12-01,76193
2022-01-01,48924
2022-02-01,67172
2022-03-01,43052
2022-04-01,93637
2022-05-01,41817
2022-06-01,66648
2022-07-01,54086
2022-08-01,66093
2022-09-01,69991
2022-10-01,63743
2022-11-01,81784
2022-12-01,58893
2023-01-01,49524
2023-02-01,65297
2023-03-01,96688
